Charge;N° Parc;N° Série;Réception;Référence;Désignation;Stock;Quart;Déposant;Lot;Date Création;Utilisateur;UL Contenue;Type réception;Type Edition;Tron Dest.;Tron.;Temps passé en atelier;Tournée;Stock Préc.;Statut;Site;Rot;Réparateur;Rendre Charge Dispo?;Réf Fourn.;Ref Client;Rebut ?;Réaffecter;Rng Dest;Rng;Qrt Dest;Qté UL contenu;Qté Rés;Qté à Regrouper;Qté Dispo;Prix Unit d'achat.;Profondeur;Prestation Atelier;Prél.;Pos Dest;Pos;Poids;Charge Org Vide?;Numéro du support;N° Recept;Numéro de facture;Nom technicien;Nom etiq Charge;Niv Dest;Niv;Multi Réf?;Mouvement;Charges assemblage;Maj Charge?;Lot de Fabrication;Lot Préc.;Ligne Rec;Adresse;Largeur;A Inventorier?;Init Prix d'achat.;H Creation;Hauteur;H Rebut;H Réaffect;Heure cloture atelier;Heure prise en main;Gtin;Flag Charge?;Famille Log;Famille;Etat Final;Etat;Emb_Pal;EAN13;Dotation;DLUO;Dernier invent.;Date Fab;Dern. Mvt;Date Dernier Prelvt;Date Dernier mvt;Condit;Type Ano;Commentaire Atelier;Code UM;UL;Charge Org;Charge Dest;Bat Dest;Bat;Al Dest;Allée;Affectation
"08419580";"";"";"00465852";"B00024224";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"PAL";"TETCSV";"";"03/03/2026";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"19";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"C";"0,00 Kg";"Non";"";"03237668";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"4";"PAL H 19 0 C";"0,00 m";"Non";"0,00";"03/03/26 09:28:54";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Disponible";"";"";"Non";"";"";"";"12026125";"";"27/03/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"H";"TETCSVGOOD"
"08419581";"";"";"00465852";"B00024224";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"PAL";"TETCSV";"";"03/03/2026";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"19";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"C";"0,00 Kg";"Non";"";"03237668";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"4";"PAL H 19 0 C";"0,00 m";"Non";"0,00";"03/03/26 09:28:54";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Disponible";"";"";"Non";"";"";"";"12026126";"";"27/03/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"H";"TETCSVGOOD"
"08489963";"";"";"00470293";"B00024178";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"PAL";"TOTALTCS";"LAFORGE BENOIT";"20/04/2026";"";"UNITE";"RT";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"13";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"C";"0,00 Kg";"Non";"";"03264619";"";"";"Etiq_Charge.xml";"";"0";"Non";"12114857";"Oui";"Non";"";"";"6";"PAL G 13 0 C";"0,00 m";"Non";"0,00";"20/04/26 15:50:06";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Réservée";"";"";"Non";"";"";"";"12114646";"";"20/04/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TOTALTCSGOOD"
"08489964";"";"";"00470293";"B00024178";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"PAL";"TOTALTCS";"LAFORGE BENOIT";"20/04/2026";"";"UNITE";"RT";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"13";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"C";"0,00 Kg";"Non";"";"03264620";"";"";"Etiq_Charge.xml";"";"0";"Non";"12114858";"Oui";"Non";"";"";"7";"PAL G 13 0 C";"0,00 m";"Non";"0,00";"20/04/26 15:50:07";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Réservée";"";"";"Non";"";"";"";"12114647";"";"20/04/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TOTALTCSGOOD"
"08489965";"";"";"00470293";"B00024178";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"PAL";"TOTALTCS";"LAFORGE BENOIT";"20/04/2026";"";"UNITE";"RT";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"13";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"C";"0,00 Kg";"Non";"";"03264621";"";"";"Etiq_Charge.xml";"";"0";"Non";"12114859";"Oui";"Non";"";"";"8";"PAL G 13 0 C";"0,00 m";"Non";"0,00";"20/04/26 15:50:07";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Réservée";"";"";"Non";"";"";"";"12114648";"";"20/04/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TOTALTCSGOOD"
"08419575";"";"";"00465852";"B00024224";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"PAL";"TETCSV";"";"03/03/2026";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"19";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"C";"0,00 Kg";"Non";"";"03237668";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"4";"PAL H 19 0 C";"0,00 m";"Non";"0,00";"03/03/26 09:28:54";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Disponible";"";"";"Non";"";"";"";"12026127";"";"27/03/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"H";"TETCSVGOOD"
"08361014";"";"";"00461388";"B00024224";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"APP";"TETCSV";"";"23/01/2026";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"01";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"A";"0,00 Kg";"Non";"";"03215909";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"19";"APP A 01 0 A";"0,00 m";"Non";"0,00";"23/01/26 16:57:10";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Disponible";"";"";"Non";"";"";"";"12020853";"";"26/03/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"A";"TETCSVGOOD"
"08361015";"";"";"00461388";"B00024224";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"APP";"TETCSV";"";"23/01/2026";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"01";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"A";"0,00 Kg";"Non";"";"03215909";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"19";"APP A 01 0 A";"0,00 m";"Non";"0,00";"23/01/26 16:57:10";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Disponible";"";"";"Non";"";"";"";"12020852";"";"26/03/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"A";"TETCSVGOOD"
"08361026";"";"";"00461388";"B00024224";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"APP";"TETCSV";"";"23/01/2026";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"01";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"A";"0,00 Kg";"Non";"";"03215909";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"19";"APP A 01 0 A";"0,00 m";"Non";"0,00";"23/01/26 16:57:10";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Disponible";"";"";"Non";"";"";"";"12020862";"";"26/03/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"A";"TETCSVGOOD"
"08361435";"";"";"00461388";"B00024224";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"APP";"TETCSV";"";"23/01/2026";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"01";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"A";"0,00 Kg";"Non";"";"03215914";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"21";"APP A 01 0 A";"0,00 m";"Non";"0,00";"23/01/26 16:59:20";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Disponible";"";"";"Non";"";"";"";"12011296";"";"23/03/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"A";"TETCSVGOOD"
"08361007";"";"";"00461388";"B00024224";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"APP";"TETCSV";"";"23/01/2026";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"01";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"A";"0,00 Kg";"Non";"";"03215909";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"19";"APP A 01 0 A";"0,00 m";"Non";"0,00";"23/01/26 16:57:10";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Disponible";"";"";"Non";"";"";"";"12020833";"";"26/03/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"A";"TETCSVGOOD"
"08467465";"";"";"00468818";"B00024178";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"PAL";"TOTALTCS";"";"02/04/2026";"";"UNITE";"RT";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"14";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"B";"0,00 Kg";"Non";"";"03256082";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"5";"PAL H 14 0 B";"0,00 m";"Non";"0,00";"02/04/26 15:43:25";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Disponible";"";"";"Non";"";"";"";"12051793";"";"02/04/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"H";"TOTALTCSGOOD"
"08361002";"";"";"00461388";"B00024178";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"PAL";"TOTALTCS";"LACOMBE CAZAL LUDOVI";"23/01/2026";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"14";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"C";"0,00 Kg";"Non";"";"03215909";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"KIT9";"19";"PAL H 14 0 C";"0,00 m";"Non";"0,00";"23/01/26 16:57:10";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Quarantaine";"";"";"Non";"";"";"";"12003495";"";"19/03/2026";"";"-";"PREP_20-03";"UNITE";"UNITE";"";"";"";"1";"";"H";"TOTALTCSGOOD"
"08419612";"";"";"00465852";"B00024224";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"PAL";"TETCSV";"";"03/03/2026";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"19";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"C";"0,00 Kg";"Non";"";"03237668";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"4";"PAL H 19 0 C";"0,00 m";"Non";"0,00";"03/03/26 09:28:54";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Disponible";"";"";"Non";"";"";"";"12026128";"";"27/03/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"H";"TETCSVGOOD"
"08419614";"";"";"00465852";"B00024224";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"PAL";"TETCSV";"";"03/03/2026";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"19";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"C";"0,00 Kg";"Non";"";"03237668";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"4";"PAL H 19 0 C";"0,00 m";"Non";"0,00";"03/03/26 09:28:54";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Disponible";"";"";"Non";"";"";"";"12026129";"";"27/03/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"H";"TETCSVGOOD"
"08419610";"";"";"00465852";"B00024224";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"PAL";"TETCSV";"";"03/03/2026";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"19";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"C";"0,00 Kg";"Non";"";"03237668";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"4";"PAL H 19 0 C";"0,00 m";"Non";"0,00";"03/03/26 09:28:54";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Disponible";"";"";"Non";"";"";"";"12026130";"";"27/03/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"H";"TETCSVGOOD"
"08419611";"";"";"00465852";"B00024224";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"PAL";"TETCSV";"";"03/03/2026";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"19";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"C";"0,00 Kg";"Non";"";"03237668";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"4";"PAL H 19 0 C";"0,00 m";"Non";"0,00";"03/03/26 09:28:54";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Disponible";"";"";"Non";"";"";"";"12026131";"";"27/03/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"H";"TETCSVGOOD"
"08464181";"";"";"00468587";"B00024224";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"APP";"TETCSV";"";"01/04/2026";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"01";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"A";"0,00 Kg";"Non";"";"03254748";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"1";"APP A 01 0 A";"0,00 m";"Non";"0,00";"01/04/26 10:47:11";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Disponible";"";"";"Non";"";"";"";"12045453";"";"01/04/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"A";"TETCSVGOOD"
"08361053";"";"";"00461388";"B00024224";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"APP";"TETCSV";"";"23/01/2026";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"01";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"A";"0,00 Kg";"Non";"";"03215909";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"19";"APP A 01 0 A";"0,00 m";"Non";"0,00";"23/01/26 16:57:10";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Disponible";"";"";"Non";"";"";"";"12020987";"";"26/03/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"A";"TETCSVGOOD"
"08419800";"";"";"00465852";"B00024224";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"PAL";"TETCSV";"";"03/03/2026";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"19";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"C";"0,00 Kg";"Non";"";"03237671";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"4";"PAL H 19 0 C";"0,00 m";"Non";"0,00";"03/03/26 09:30:10";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Disponible";"";"";"Non";"";"";"";"12026132";"";"27/03/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"H";"TETCSVGOOD"
"08419801";"";"";"00465852";"B00024224";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"PAL";"TETCSV";"";"03/03/2026";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"19";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"C";"0,00 Kg";"Non";"";"03237671";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"4";"PAL H 19 0 C";"0,00 m";"Non";"0,00";"03/03/26 09:30:10";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Disponible";"";"";"Non";"";"";"";"12026133";"";"27/03/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"H";"TETCSVGOOD"
"08419802";"";"";"00465852";"B00024224";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"PAL";"TETCSV";"";"03/03/2026";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"19";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"C";"0,00 Kg";"Non";"";"03237671";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"4";"PAL H 19 0 C";"0,00 m";"Non";"0,00";"03/03/26 09:30:10";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Disponible";"";"";"Non";"";"";"";"12026134";"";"27/03/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"H";"TETCSVGOOD"
"08419803";"";"";"00465852";"B00024224";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"PAL";"TETCSV";"";"03/03/2026";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"19";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"C";"0,00 Kg";"Non";"";"03237671";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"4";"PAL H 19 0 C";"0,00 m";"Non";"0,00";"03/03/26 09:30:10";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Disponible";"";"";"Non";"";"";"";"12026135";"";"27/03/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"H";"TETCSVGOOD"
"08468215";"";"";"00468855";"B00024178";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"PAL";"TOTALTCS";"LELU CLEMENT";"03/04/2026";"";"UNITE";"RT";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"13";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"C";"0,00 Kg";"Non";"";"03256258";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"7";"PAL G 13 0 C";"0,00 m";"Non";"0,00";"03/04/26 10:12:56";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Réservée";"";"";"Non";"";"";"";"12052899";"";"03/04/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"G";"TOTALTCSGOOD"
"08361235";"";"";"00461388";"B00024224";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"APP";"TETCSV";"";"23/01/2026";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"01";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"A";"0,00 Kg";"Non";"";"03215911";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"20";"APP A 01 0 A";"0,00 m";"Non";"0,00";"23/01/26 16:58:24";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Disponible";"";"";"Non";"";"";"";"12021123";"";"26/03/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"A";"TETCSVGOOD"
"08361236";"";"";"00461388";"B00024224";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"APP";"TETCSV";"";"23/01/2026";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"01";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"A";"0,00 Kg";"Non";"";"03215911";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"20";"APP A 01 0 A";"0,00 m";"Non";"0,00";"23/01/26 16:58:24";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Disponible";"";"";"Non";"";"";"";"12021136";"";"26/03/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"A";"TETCSVGOOD"
"08361074";"";"";"00461388";"B00024224";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"APP";"TETCSV";"";"23/01/2026";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"01";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"A";"0,00 Kg";"Non";"";"03215909";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"19";"APP A 01 0 A";"0,00 m";"Non";"0,00";"23/01/26 16:57:10";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Disponible";"";"";"Non";"";"";"";"12021107";"";"26/03/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"A";"TETCSVGOOD"
"08419805";"";"";"00465852";"B00024224";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"PAL";"TETCSV";"";"03/03/2026";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"19";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"C";"0,00 Kg";"Non";"";"03237671";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"4";"PAL H 19 0 C";"0,00 m";"Non";"0,00";"03/03/26 09:30:10";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Disponible";"";"";"Non";"";"";"";"12026136";"";"27/03/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"H";"TETCSVGOOD"
"08419806";"";"";"00465852";"B00024224";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"PAL";"TETCSV";"";"03/03/2026";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"19";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"C";"0,00 Kg";"Non";"";"03237671";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"4";"PAL H 19 0 C";"0,00 m";"Non";"0,00";"03/03/26 09:30:10";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Disponible";"";"";"Non";"";"";"";"12026137";"";"27/03/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"H";"TETCSVGOOD"
"08419549";"";"";"00465852";"B00024224";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"PAL";"TETCSV";"";"03/03/2026";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"19";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"C";"0,00 Kg";"Non";"";"03237668";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"4";"PAL H 19 0 C";"0,00 m";"Non";"0,00";"03/03/26 09:28:54";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Disponible";"";"";"Non";"";"";"";"12026138";"";"27/03/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"H";"TETCSVGOOD"
"08419592";"";"";"00465852";"B00024224";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"PAL";"TETCSV";"";"03/03/2026";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"19";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"C";"0,00 Kg";"Non";"";"03237668";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"4";"PAL H 19 0 C";"0,00 m";"Non";"0,00";"03/03/26 09:28:54";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Disponible";"";"";"Non";"";"";"";"12026139";"";"27/03/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"H";"TETCSVGOOD"
"08361415";"";"";"00461388";"B00024224";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"APP";"TETCSV";"";"23/01/2026";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"01";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"A";"0,00 Kg";"Non";"";"03215914";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"21";"APP A 01 0 A";"0,00 m";"Non";"0,00";"23/01/26 16:59:20";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Disponible";"";"";"Non";"";"";"";"12020920";"";"26/03/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"A";"TETCSVGOOD"
"08361407";"";"";"00461388";"B00024224";"CT100/AST620/HEADPHONE PLUG TOR";"GOOD";"APP";"TETCSV";"";"23/01/2026";"";"UNITE";"CF";"STANDARD";"";"";"0";"";"";"Diagnostic";"001";"0";"";"Non";"";"106001416";"Non";"Non";"";"01";"";"1";"0";"0";"1";"0,00";"0,00 m";"";"0";"";"A";"0,00 Kg";"Non";"";"03215914";"";"";"Etiq_Charge.xml";"";"0";"Non";"-";"Oui";"Non";"";"";"21";"APP A 01 0 A";"0,00 m";"Non";"0,00";"23/01/26 16:59:20";"0,00 m";"";"";"";"";"";"Non";"";"AUTEL";"Disponible";"Disponible";"";"";"Non";"";"";"";"12062970";"";"08/04/2026";"";"-";"";"UNITE";"UNITE";"";"";"";"1";"";"A";"TETCSVGOOD"
